word,emotion,color,orientation,sentiment,subjectivity,source
analytical,,,active,,weak,mpqa
analyze,,,active,,,inquirer
anarchism,anger,,,negative,strong,emolex
anarchist,anger,,,negative,strong,emolex
anarchistic,,,,negative,strong,opinion
anarchy,anger,black,,negative,strong,emolex
anathema,anger,black,,negative,,emolex
ancestral,trust,,,,,emolex
anchor,,,,positive,,emolex
anchorage,sadness,blue,,positive,,emolex
ancient,,grey,,negative,,emolex
anemic,,,,negative,weak,opinion
anemone,,pink,,,,colour
anew,,white,,,,colour
angel,anticipation,,,positive,weak,emolex
angelic,joy,white,,positive,strong,emolex
anger,anger,red,active,negative,strong,emolex
angina,fear,red,,negative,,emolex
angling,anticipation,,,negative,,emolex
angrily,,,,negative,strong,opinion
angriness,,,,negative,strong,opinion
angry,anger,red,active,negative,strong,emolex
anguish,anger,red,passive,negative,strong,emolex
animal,,brown,,,,colour
animate,,,,positive,,emolex
animated,joy,,,positive,weak,emolex
animation,,,active,,,inquirer
animosity,anger,red,,negative,strong,emolex
animus,anger,,,negative,,emolex
annihilate,anger,black,active,negative,strong,emolex
annihilated,anger,black,,negative,,emolex
annihilation,anger,red,,negative,strong,emolex
announcement,anticipation,,,,,emolex
annoy,anger,,active,negative,strong,emolex
annoyance,anger,,,negative,strong,emolex
annoyances,,,,negative,,opinion
annoyed,,,,negative,strong,opinion
annoying,anger,,,negative,strong,emolex
annoyingly,,,,negative,strong,opinion
annoys,,,,negative,,opinion
annul,,,,negative,,emolex
annulment,sadness,black,,negative,,emolex
anoint,,,active,positive,,inquirer
anomalous,,,,negative,weak,opinion
anomaly,fear,,,negative,weak,emolex
anonymous,,,,negative,,emolex
answer,,,active,,,inquirer
answerable,trust,,,,,emolex
ant,,black,,,,colour
antagonism,anger,,active,negative,strong,emolex
antagonist,anger,black,,negative,weak,emolex
antagonistic,anger,red,active,negative,strong,emolex
antagonize,,,active,negative,strong,opinion
antelope,,brown,,,,colour
antenna,,black,,,,colour
anthem,,red,,,,colour
anthrax,disgust,white,,negative,,emolex
